B^{1/4}[MeV], Delta[MeV], m_s[MeV] 
191.8207516766127 103.5094118498768 156.74034719595053
185.61977427963865 91.93700101037103 149.1713875994608
201.90888557118598 77.37206292488625 110.91954946717348
185.01595155220818 104.11746587598954 142.60299932469476
189.59867388801885 125.59568999980307 156.7891082258307
194.46129382583908 106.78209211644821 154.58130490425611
196.77209286110224 105.10656379477949 179.34263700517323
200.122216750581 122.23053460512065 175.86698737360413
199.11012749698776 105.40107224021382 131.10090560812503
185.71013560062946 111.56971794541326 104.38155584840158
187.6414147970658 96.78962048398046 159.30276478648028
200.21639743688624 103.35783768964608 178.34872305936688
186.58651341119105 100.86278471440362 64.37032962833548
202.56408672499688 92.83007118451833 170.14368451059087
184.38797942861152 88.14761461536641 134.31745565026307
187.30572839869976 101.96278343403581 160.93230900408113
203.98253091491208 106.21694681629003 155.53817986496168
199.33016273780933 115.84680962121269 155.6275334830262
196.13878131067867 82.89153256400411 196.01086647834256
190.38207828745593 95.16650371426385 137.08003418337162
199.22752689771835 99.9160066395416 140.10384881888154
197.25774979272276 115.40979046538739 153.10294182586128
188.97723501884158 112.67606369079553 144.67373308869335
192.34536803416557 124.42601293582365 152.73278886329467
185.78575895307995 115.00185073914218 144.54253855023143
183.80977960257584 83.00065369188712 169.53311369196774
192.1493741427504 88.01810589604081 122.39721222214641
195.86370651037626 95.67089253731142 73.41134538789458
194.68056467890062 95.27387824342999 184.30615453732835
189.84010934069576 84.26491916403009 110.19428927031309
186.0966294171433 104.53724360429344 181.25018598116532
199.1649623130191 127.69864170749636 123.33846281838495
193.15361913517498 88.83171366334884 112.02969947117944
192.6177796976171 95.4368041899499 180.05522435015334
198.2542653163924 118.3076186880308 132.9525808904529
194.2619933773527 104.86849304889076 56.315516477635626
193.18080962047048 91.87965005034229 152.02076655034435
184.14213334744395 112.8908011311755 97.22005190392639
196.16375769320163 86.31375239360187 221.0275689076997
190.70425652718515 130.75706830085292 114.51259291590293
203.88693322400127 107.31050217936166 143.55765338804818
187.5446867636437 104.63831157856191 131.42179964295946
188.7350050401885 99.71097686185512 172.0367240085689
189.9836942131022 63.96001342762126 223.1913643341029
196.35452263764446 64.83029466468084 163.6194330893201
194.38569455148206 108.85031319809596 168.03748424882033
196.6121429108477 93.76280111563815 154.44714637388742
185.44038954706676 106.72950916100241 205.9286401247556
198.2103500703007 114.6338832745954 133.87967565519452
189.79078790017692 84.72557941206779 145.10655542410055
202.13913304489 110.54779309891698 203.59102834498273
191.95899130201204 124.97942428360429 120.82484991348761
184.54952894235765 111.3303713568187 132.55812395206414
202.1273559503061 113.00510371323858 150.99102479771346
195.6764224703985 98.7056680986304 144.24644752008942
199.84644923460922 104.44358769840817 107.6869459616089
199.80142848886834 94.38005468034922 150.48844799082707
193.57643213546916 105.99967841111872 145.4257969216094
197.56980406981512 111.71739191783348 151.49985187569396
198.29685326594904 88.1382293074834 189.74827898742825
197.6643936846749 94.86484641941057 151.86091025745637
197.21513905499694 59.70121397694858 138.96407232087398
199.52464793482815 118.39131694834269 123.84961620449006
189.13136933724127 121.06916328753013 146.16857150047588
188.11346470110297 99.19392503147724 118.7246169132303
188.35397457195708 85.21720837912754 149.19808493221657
188.87521482110597 122.58996211756687 161.84283018623842
186.85418590572363 87.48282668394219 101.29901979423047
189.53622645806774 114.0354429189125 157.37666034759
198.33902929448143 82.59084743998253 193.01367930501183
190.96258406564095 100.68181362805707 175.64869629898942
203.03581337314057 98.58509859683895 161.03474020708543
187.7518267572049 84.81425669472176 139.02135163207663
183.74622801050805 106.44133931557073 181.5093795685264
189.15050083864355 68.42515522838896 58.412106544172644
181.21837759747027 111.04098862828292 165.94180526414968
184.40761570682827 103.24520179832834 120.91957720382557
197.05373832575896 83.10287675130098 131.27669689456485
192.26467448308057 121.54499075587066 208.3524594017187
199.36444604443966 133.91583091327888 150.44334852497846
181.18540041445814 88.38780897872698 170.59211504529003
200.56851528408558 116.01833474409943 153.42086401660185
198.9241538214967 119.61477033901369 81.05859625050944
192.4384146512335 87.54485525573095 163.89977787051632
206.44184952537842 82.19442577088408 156.85304750771732
197.71059802073697 118.6182577496808 106.98376205664523
188.21046174033762 101.082149950518 203.07684349350458
188.2180696075785 78.53186880076683 184.03843713116783
190.09874258643327 100.33878091446053 78.22121583883789
200.96374873511644 83.31564912535814 54.60017491930721
197.51839108639166 85.13355639867294 122.34168909831692
195.4847640108141 59.911560540052044 126.57858186477748
192.15872911022964 119.30075860807418 177.5777025761028
193.60561017458824 98.83295907262634 121.41380934975155
191.74699215997376 75.7410651004934 67.51981258244335
187.8224997736132 70.78829621526233 185.96904446897022
183.67201161755898 95.15553823211489 139.57633212115033
203.98140444985881 84.81853096100696 111.60040571543848
196.38778551970717 134.78588346561358 136.7027657470547
187.8921081886448 114.54751581945236 137.76432287306622
189.60033331263665 85.02064512309474 143.199836682089
196.35004274229377 102.80319133384586 138.864712839338
191.92801590750815 105.43658089624608 164.46828638374086
196.25535010800698 118.6647383663538 129.30253426137787
195.25930349987783 121.15114063964707 156.69171432672323
197.9585485382614 111.92752822250179 205.1444470809255
193.59317881921183 116.40615367568844 175.865132329872
181.23095048097736 110.74240934649892 151.32585772155156
167.62267934422192 92.67144098937467 159.1896464975474
190.78339945476196 90.4697051252614 129.46109026224298
194.3087792993831 97.79749141890684 164.05484624735888
185.9392495500532 87.40014785210036 142.20222070011513
188.1458389602151 91.47097878269425 148.30272819838083
190.5423617652994 100.11832600703676 147.38487321495856
197.6728901193021 88.27441733811267 205.15076687790187
192.26741162413734 103.18044474292915 153.8127020093456
194.28753087845985 107.13783979734609 191.63144905561447
200.95879086334315 121.16981736924753 162.4737656478427
198.34725496799052 73.07505240152175 83.95855765335396
199.47158626829687 90.21858974668724 131.34777732578277
197.75897736872932 109.26756018343619 134.31350450922872
196.31160721403273 108.59410102619454 174.15653611315628
197.08655766037785 96.57782753567352 127.30102188787679
199.25654254938837 118.05861628783464 196.94587875541055
201.52686431744158 73.50532336930232 138.5843270993472
204.04805735360358 120.97753925534154 166.17734169472092
193.04958982240575 104.59647529166423 248.01154155115
199.94960786777304 107.48160705379003 170.73395801355838
196.11414844413423 97.09168123303084 90.88509030202886
188.1050194397256 95.80397451281802 97.94728135812353
190.3892992471231 126.07565406169695 114.72438004798568
189.65822995625464 129.71018574056677 123.11436055539124
189.6166088348137 117.23817788843128 164.22473513261127
181.21799875167454 114.3553600819897 217.8893294225656
186.50915283668337 115.85568344639154 148.60712650359545
196.27904032599105 108.8601080725428 86.22186740685521
195.0754803064259 105.44816631729154 149.5685418369871
188.83026897758336 79.86692813790714 166.07469503373704
201.39829732101782 90.52182876599271 121.85317093745581
189.75628524943045 101.06461004470502 124.39673760068172
193.0261825714385 87.98012540816802 89.06829716889492
189.98700529650833 118.94793386539284 162.25550079001792
194.44970641992887 120.51928995966637 204.99215729432916
186.40145747407686 104.58801249509975 138.0497149782648
202.22894645545335 105.27713656065367 240.70147926994582
189.31833978105337 79.65461404885474 112.20580685113393
194.91426463999397 119.60381543177272 127.38098852146302
192.59338447909718 121.34074882560651 146.82871343199247
189.17937546228447 96.56297747826542 133.0064928935605
201.28854792504612 102.64671371958995 139.21096434828775
196.52987711948904 72.28026345425073 168.83616357726777
191.95110781785618 98.7223690852147 212.55990697337285
176.4073720147757 112.71358986308078 209.2519572220146
194.60090218410238 103.84164676587926 208.22711047185174
189.9323875200062 125.05910370688666 121.04413165795424
197.1217111573899 125.86159925417736 181.2481231926597
187.8481064478956 125.21267072261143 178.12271708855332
201.7489009926834 107.25742755623818 203.0923516359424
183.71851487295316 106.40655771240979 144.22519417247238
189.42072063723023 63.51561065586758 113.4363874617319
191.0169859099029 81.44034553969055 111.42604647107828
189.60778691604705 83.50771633866287 128.7741325138293
187.95408550875356 121.7283483860048 143.56225682435183
193.68009707408143 103.01960504834909 138.14228082827358
196.17789817702104 106.8497635787002 132.61823807353824
198.5101013156451 108.4689815652341 106.2538925001638
193.29832242668954 79.33458339911834 155.53492009955363
194.34676100561353 122.28134462042536 169.18537507795767
193.80364529816185 97.96999482641004 185.52001349292334
201.07917324063789 81.48548769100992 180.20674131052536
194.1568310517935 98.7514230573185 89.65308506968171
192.0514616762648 106.61294420636894 136.9176137585244
192.98657856535348 123.37936095924405 82.96881901225605
187.19988909521533 96.64534567213964 114.30532402216198
190.76179489298812 99.7860076870083 202.67633539000735
195.9883853800994 104.84521776275172 109.11190733011011
198.37771419980538 116.72565516081394 129.07025828557315
190.21740459633506 97.45243161418308 114.24047328407201
195.65142359723075 70.48751271631109 183.91746831875804
185.72806473669215 102.6618814693432 205.850424727354
196.98056576081706 92.1912125873144 190.50075854639397
200.711112947019 95.23591310653661 136.33119211570332
184.94407235855027 129.8012084976746 120.28106747990377
191.87834057856156 102.60097891554393 123.05166043101175
202.94347248128236 104.23332516500902 146.4644567916496
200.78305923752004 93.98423779814772 150.8868622958145
188.308598140265 113.35316801133855 196.88645297243278
195.2797721671424 93.65846299748237 128.25199924726266
197.6670051539894 82.23547333763503 198.75306770599792
192.82617193756099 108.33779311557237 136.64994474585095
190.99957926215617 100.99183787488359 99.37571307281638
194.88805916728947 108.78007440617768 167.64846478436505
194.99379002551547 81.0915389098412 176.0361828023487
193.82176546628108 112.45307435177692 143.04248901222965
192.49778692628382 122.40646766100447 196.7059432374999
189.41887549245118 48.513702951628645 215.24238244645628
184.5172817057659 91.72958419825491 137.6314737976233
191.7307631539965 93.75288365593056 140.9953469563796
184.96014143604918 103.35263628623981 156.59941028220248
197.42219762123196 93.98868212444219 124.53718999748705
194.14361102548554 113.99988635722104 184.52130982163303
191.3561556534323 88.95762436392039 123.10903406784072
200.02700251289275 117.67196753310955 176.36925341843698
188.26297052494837 92.0688655639695 208.04140393705626
192.12873381732086 96.6577251686563 166.31946812558496
194.70652941471377 91.29546665321044 152.67436743244915
190.56820370002833 84.39979157633206 172.75797707889
188.4179228549048 94.81854474572862 161.89063732286203
202.43299697463206 94.935679283654 120.52842531440481
189.20647905583914 100.88315483139232 172.26556511114032
188.74231201941163 115.57532553452364 137.02392123283113
190.72863332843323 98.2373660441391 100.17260074866084
190.68105360097886 110.21837449635674 169.75364923819646
196.7224559670969 88.78815719419164 121.90868059152403
183.56286799398703 63.71728031833549 155.73867696524732
192.18331225968157 114.76668811190135 170.58215282713866
195.1607422998686 75.28517435729208 194.49894171081903
184.28136129778756 112.96062471195027 194.04744424840817
189.54024422762376 75.90472475551778 162.47386783488847
181.85073085304768 102.64850943051975 159.19703727851694
193.3566848404051 117.74351099329117 167.8905268481964
193.85524670252505 95.74539587110856 174.55543463588882
184.34043981738458 101.7595615225281 131.7360395653715
200.5587791660517 103.51575816061134 178.4539977377789
188.00126228220188 94.5216573130872 198.98612703004673
195.63034498935605 79.3723779979779 161.28223509444703
183.55621043326346 87.06403773842504 173.43635787486113
197.805508609205 86.08530038481717 94.43517471129067
193.39263560485927 123.72212383441325 160.13414299598534
198.70748242960192 131.49733850078306 147.7647549101218
194.9034508461389 106.10793847052854 137.01701978460673
197.25543469097514 100.43671940331141 122.19563697140693
192.42025528416016 113.28945801463534 135.71816145058634
197.6664106320985 109.05692828013507 202.2467760656334
192.48941198758718 116.60732821523274 188.26038491944064
191.77139406222202 120.59950084183791 207.02528038029556
