M[M_sun], R[km], Lambda[1], P_c[MeV/fm^3]
0.2416277750616976 15.618515526848569 2160338.09801669 3.5677787854173952
0.25223568023692355 15.31418349106016 1768233.8787213776 3.7593160612356322
0.26313943245198956 15.046048142234756 1454389.8011887746 3.958171921230056
0.27434139444304045 14.808919121748156 1201679.7936401288 4.164680116483184
0.2858395274036511 14.59873605609192 997111.513803465 4.379136889593818
0.2976342910909918 14.412007773038383 830733.911707368 4.60169046036987
0.3097280334954266 14.24574425229399 682334.5975656041 4.832754047124871
0.3221184855264015 14.09757081195473 582696.3116602637 5.07262452552704
0.3348103917207531 13.965234245682991 490506.22756976524 5.321611542611811
0.3478000246699748 13.847044043777768 414163.00181847275 5.579972335362886
0.3610901789355022 13.7413975728691 350681.2013688254 5.848100074637425
0.3746805376202977 13.646953605854335 297754.0209481268 6.1263625026330075
0.3885728556192751 13.562519121720857 253478.66326577036 6.415125752802097
0.4027679763886524 13.487110238166867 216298.76319276867 6.714771337992615
0.4172645529908953 13.419767967280979 182711.20397641434 7.025696756784446
0.43206285514752807 13.359723184098172 158614.5356403628 7.348316130193365
0.44716494377988525 13.3062790811558 136252.97684671477 7.683060870371362
0.4625682629027564 13.258801312845414 117295.0013722392 8.030380383072888
0.4782727795767861 13.216755066970832 101158.92397377989 8.390742805824155
0.49428262766964415 13.17959968042312 87413.41065782533 8.764635783931451
0.5105917982975626 13.146924046606346 75665.5051168487 9.152567286691822
0.5271985311546503 13.118338442910797 65612.40008304932 9.555066466431139
0.5441081796500297 13.093426700659714 56984.517562980414 9.972684563287398
0.561314706800874 13.07187499890501 49573.09584289662 10.405995858988279
0.578817174001391 13.053379403526915 43192.032798982415 10.855598683235035
0.5966131367202138 13.037701208293369 37686.47553498756 11.322116476709668
0.6147010862176686 13.024563800015263 32652.24270683476 11.806198915162977
0.6330799753803956 13.013745197193737 28811.80742547287 12.308523099522343
0.6517448450976533 13.00500218390145 25243.26172578254 12.829729494158428
0.6706948084769562 12.99817995552744 22147.927847714545 13.370586222737117
0.6899232506055625 12.99309014739862 19453.327849815872 13.931886875898416
0.7094290782032322 12.9895555174389 17109.010078125866 14.51443257492248
0.7292061868234893 12.987415135568114 15066.018081374887 15.11905914951216
0.7492512408896409 12.986548243127883 13280.839107433107 15.746638867127714
0.7695596927206759 12.986792788543736 11721.455631823625 16.398082279905037
0.7901251631110472 12.988048969681888 10355.656946417394 17.074340199485913
0.8109411716427596 12.99016925479221 9159.467287165815 17.77640581098479
0.8320022498724783 12.993064081299305 8109.135202180454 18.505316938267846
0.8533030918179713 12.996617633107189 7187.490262642709 19.262158473730345
0.8748342313965382 13.000749109629387 6377.284053411869 20.0480057949418
0.8965885473164988 13.00534869872651 5663.109069323469 20.86409674202588
0.9185629698331219 13.010313055124303 5034.059311686335 21.711694081083003
0.940737385570194 13.015605555813044 4478.991029191591 22.592101798437866
0.9631125971583401 13.021107106631867 3989.528609945831 23.506686310924255
0.9856770209055621 13.026751096792555 3556.315651457499 24.456880230955306
1.0084207110144736 13.032465593869603 3173.2327870958125 25.444186422725735
1.0313316302035773 13.03818778431548 2833.8133081559636 26.470182373692737
1.054398814121416 13.043839325448117 2532.9072209035835 27.536524907355304
1.0776124733214116 13.049356903857937 2266.293563933889 28.64494301865338
1.1009587322989305 13.054687365501888 2029.1678789280938 29.7971379947653
1.1244253535747242 13.059766819598899 1818.2758611449692 30.995134768897003
